episode,offload,bandwidth,action,reward,next_bandwidth,next_offload
14,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[2881869.75, 51925336.0, 642094912.0, 453819008.0, 0.49920886754989624, 0.500791072845459, 0.5002811551094055, 0.49971887469291687]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
15,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 63000000.0, 0.0, 0.0, 0.49941474199295044, 0.5005852580070496, 0.5002120733261108, 0.49978798627853394]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
16,"[0.0, 0.0, 0.1]","[0.0, 0.0807153328]","[0.0, 6827998.5, 1000000000.0, 786149696.0, 0.4989420473575592, 0.5010578632354736, 0.5005562901496887, 0.4994436502456665]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
17,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 773213632.0, 0.49897104501724243, 0.5010288953781128, 0.4999043643474579, 0.5000956654548645]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
18,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[25548538.0, 55727668.0, 1000000000.0, 0.0, 0.4988958537578583, 0.5011041760444641, 0.5001853704452515, 0.49981456995010376]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
19,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 439476352.0, 0.0, 0.49909496307373047, 0.5009049773216248, 0.49998635053634644, 0.5000137090682983]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
20,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.4990330934524536, 0.5009669065475464, 0.49973955750465393, 0.5002604126930237]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
21,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[4306406.5, 63000000.0, 85776112.0, 0.0, 0.49914368987083435, 0.5008563995361328, 0.4999596178531647, 0.5000403523445129]",2.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
22,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 500020768.0, 701663616.0, 0.5, 0.5, 0.500177800655365, 0.4998222589492798]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
23,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 1000000000.0, 0.0, 0.4990386962890625, 0.5009612441062927, 0.49986782670021057, 0.5001322627067566]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
24,"[0.0, 0.0, 0.1]","[0.0, 0.0]","[0.0, 0.0, 0.0, 1000000000.0, 0.5, 0.5, 0.5005384683609009, 0.4994615912437439]",1.0,"[0.0, 0.0]","[0.0, 0.0, 0.1]"
25,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 0.0, 1000000000.0, 0.4993669092655182, 0.5006330013275146, 0.5001341700553894, 0.49986588954925537]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
26,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 1000000000.0, 1000000000.0, 0.4997185170650482, 0.5002814531326294, 0.500399112701416, 0.4996008276939392]",1.0,"[0.0, 0.0]","[0.0, 0.0, 0.1]"
27,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 37158212.0, 0.0, 1000000000.0, 0.49885329604148865, 0.501146674156189, 0.499743789434433, 0.5002562403678894]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
28,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 211110848.0, 0.49875131249427795, 0.5012487173080444, 0.4997478425502777, 0.5002521276473999]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
29,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 63000000.0, 346668128.0, 0.0, 0.4987594485282898, 0.5012405514717102, 0.4998769760131836, 0.5001230239868164]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
30,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.49873533844947815, 0.5012646913528442, 0.5001599788665771, 0.49984002113342285]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
31,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 31914014.0, 0.0, 0.0, 0.4989066421985626, 0.501093327999115, 0.49974706768989563, 0.5002529621124268]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
32,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[12885574.0, 0.0, 0.0, 403669120.0, 0.49841517210006714, 0.5015848875045776, 0.500062882900238, 0.4999370872974396]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
33,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[3290316.0, 0.0, 796610432.0, 0.0, 0.4988953769207001, 0.5011045932769775, 0.4997654855251312, 0.5002344846725464]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
34,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[24950580.0, 27309790.0, 1000000000.0, 0.0, 0.4989560544490814, 0.5010438561439514, 0.5003711581230164, 0.4996289312839508]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
35,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 63000000.0, 0.0, 1000000000.0, 0.49887630343437195, 0.5011237263679504, 0.49988284707069397, 0.5001171231269836]",1.0,"[0.0, 0.0]","[0.0, 0.0, 0.1]"
36,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.4987964928150177, 0.5012034177780151, 0.5000853538513184, 0.49991458654403687]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
37,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 63000000.0, 1000000000.0, 0.0, 0.4985131621360779, 0.5014868378639221, 0.5002115964889526, 0.49978843331336975]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
38,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 63000000.0, 0.0, 0.0, 0.4986148476600647, 0.5013850927352905, 0.49973782896995544, 0.5002621412277222]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
39,"[0.0, 0.56, 0.1]","[0.0, 0.1]","[0.0, 31377558.0, 662833152.0, 1000000000.0, 0.4993259310722351, 0.5006740689277649, 0.4998038709163666, 0.5001961588859558]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
40,"[0.32, 0.0, 0.1]","[0.0, 0.1]","[45422808.0, 0.0, 1000000000.0, 0.0, 0.4987524747848511, 0.5012475252151489, 0.49974918365478516, 0.5002508759498596]",0.0,"[0.0, 0.0]","[0.0, 0.0, 0.1]"
41,"[0.7, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 318602336.0, 481837504.0, 0.4990778863430023, 0.5009220242500305, 0.5001946687698364, 0.4998053014278412]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
42,"[0.0, 0.12, 0.1]","[0.0, 0.1]","[41311496.0, 0.0, 0.0, 0.0, 0.4990411400794983, 0.5009588599205017, 0.5001342296600342, 0.4998658299446106]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
43,"[0.443, 0.34, 0.1]","[0.0, 0.1]","[2485831.75, 0.0, 30526050.0, 0.0, 0.5, 0.5, 0.5001692771911621, 0.4998306930065155]",2.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
44,"[0.3, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 50877388.0, 1000000000.0, 0.0, 0.49870845675468445, 0.5012915134429932, 0.5000585913658142, 0.4999414384365082]",2.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
45,"[0.0, 0.1, 0.1]","[0.0, 0.1]","[0.0, 37886624.0, 0.0, 1000000000.0, 0.49896013736724854, 0.5010398626327515, 0.5001063346862793, 0.49989357590675354]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
46,"[0.2, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 1000000000.0, 0.0, 0.4988614022731781, 0.5011385083198547, 0.49979931116104126, 0.5002006888389587]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
47,"[0.0, 0.3, 0.1]","[0.0, 0.1]","[0.0, 0.0, 890917504.0, 1000000000.0, 0.49871981143951416, 0.5012802481651306, 0.499748170375824, 0.5002517700195312]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
48,"[0.2, 0.3, 0.1]","[0.0, 0.1]","[63000000.0, 33052384.0, 0.0, 600027456.0, 0.49890556931495667, 0.501094400882721, 0.4998965561389923, 0.5001034140586853]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
49,"[0.4, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 0.0, 0.0, 0.499441921710968, 0.500558078289032, 0.49974769353866577, 0.5002522468566895]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
50,"[0.2, 0.3, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 38123504.0, 0.4990609288215637, 0.500939130783081, 0.4999067187309265, 0.5000932216644287]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
